,fl_date,mkt_unique_carrier,branded_code_share,mkt_carrier,mkt_carrier_fl_num,op_unique_carrier,tail_num,op_carrier_fl_num,origin_airport_id,origin,origin_city_name,dest_airport_id,dest,dest_city_name,crs_dep_time,dep_time,dep_delay,taxi_out,wheels_off,wheels_on,taxi_in,crs_arr_time,arr_time,arr_delay,cancelled,cancellation_code,diverted,dup,crs_elapsed_time,actual_elapsed_time,air_time,flights,distance,carrier_delay,weather_delay,nas_delay,security_delay,late_aircraft_delay,first_dep_time,total_add_gtime,longest_add_gtime,no_name
39,2018-12-09,AA,AA_CODESHARE,AA,4911,PT,N643AE,4911,14098,PHF,"Newport News/Williamsburg, VA",14100,PHL,"Philadelphia, PA",1255,,,,,,,1405,,,1.0,B,0.0,N,70.0,,,1.0,201.0,,,,,,,,,
40,2018-12-09,AA,AA_CODESHARE,AA,4912,PT,N631AE,4912,10990,CHO,"Charlottesville, VA",14100,PHL,"Philadelphia, PA",1626,,,,,,,1739,,,1.0,B,0.0,N,73.0,,,1.0,210.0,,,,,,,,,
41,2018-12-09,AA,AA_CODESHARE,AA,4912,PT,N631AE,4912,14100,PHL,"Philadelphia, PA",10990,CHO,"Charlottesville, VA",1449,,,,,,,1558,,,1.0,B,0.0,N,69.0,,,1.0,210.0,,,,,,,,,
42,2018-12-09,AA,AA_CODESHARE,AA,4913,PT,N647AE,4913,10994,CHS,"Charleston, SC",14100,PHL,"Philadelphia, PA",1458,1554.0,56.0,10.0,1604.0,1718.0,10.0,1650,1728.0,38.0,0.0,,0.0,N,112.0,94.0,74.0,1.0,550.0,3.0,0.0,0.0,0.0,35.0,,,,
43,2018-12-09,AA,AA_CODESHARE,AA,4913,PT,N647AE,4913,14100,PHL,"Philadelphia, PA",10994,CHS,"Charleston, SC",1234,1320.0,46.0,17.0,1337.0,1519.0,6.0,1429,1525.0,56.0,0.0,,0.0,N,115.0,125.0,102.0,1.0,550.0,0.0,34.0,10.0,0.0,12.0,,,,
44,2018-12-09,AA,AA_CODESHARE,AA,4914,PT,,4914,11057,CLT,"Charlotte, NC",14092,PGV,"Greenville, NC",2215,,,,,,,2319,,,1.0,B,0.0,N,64.0,,,1.0,203.0,,,,,,,,,
45,2018-12-09,AA,AA_CODESHARE,AA,4916,PT,N626AE,4916,14100,PHL,"Philadelphia, PA",14524,RIC,"Richmond, VA",820,816.0,-4.0,30.0,846.0,935.0,6.0,931,941.0,10.0,0.0,,0.0,N,71.0,85.0,49.0,1.0,198.0,,,,,,,,,
46,2018-12-09,AA,AA_CODESHARE,AA,4916,PT,N626AE,4916,14524,RIC,"Richmond, VA",14100,PHL,"Philadelphia, PA",1004,1013.0,9.0,,,,,1114,,,1.0,B,0.0,N,70.0,,,1.0,198.0,,,,,,1013.0,123.0,123.0,
47,2018-12-09,AA,AA_CODESHARE,AA,4917,PT,N659AE,4917,12945,LEX,"Lexington, KY",14100,PHL,"Philadelphia, PA",1304,1304.0,0.0,21.0,1325.0,1443.0,12.0,1454,1455.0,1.0,0.0,,0.0,N,110.0,111.0,78.0,1.0,520.0,,,,,,,,,
48,2018-12-09,AA,AA_CODESHARE,AA,4917,PT,N659AE,4917,14100,PHL,"Philadelphia, PA",12945,LEX,"Lexington, KY",1030,1028.0,-2.0,33.0,1101.0,1234.0,3.0,1231,1237.0,6.0,0.0,,0.0,N,121.0,129.0,93.0,1.0,520.0,,,,,,,,,
